,open,high,low,close,volume
2024-10-04,226.8,226.8,226.8,226.8,0.0
2024-10-07,226.8,226.8,226.8,226.8,0.0
2024-10-08,226.8,226.8,226.8,226.8,0.0
2024-10-09,226.8,226.8,226.8,226.8,0.0
2024-10-10,226.8,226.8,226.8,226.8,0.0
2024-10-11,227.55,227.55,227.55,227.55,0.0
2024-10-14,227.55,227.55,227.55,227.55,0.0
2024-10-15,227.55,227.55,227.55,227.55,0.0
2024-10-16,227.55,227.55,227.55,227.55,0.0
2024-10-17,227.55,227.55,227.55,227.55,0.0
2024-10-18,235.0,235.0,235.0,235.0,0.0
2024-10-21,235.0,235.0,235.0,235.0,0.0
2024-10-22,235.0,235.0,235.0,235.0,0.0
2024-10-23,235.0,235.0,235.0,235.0,0.0
2024-10-24,235.0,235.0,235.0,235.0,0.0
2024-10-25,231.41,231.41,231.41,231.41,0.0
2024-10-28,231.41,231.41,231.41,231.41,0.0
2024-10-29,231.41,231.41,231.41,231.41,0.0
2024-10-30,231.41,231.41,231.41,231.41,0.0
2024-10-31,231.41,231.41,231.41,231.41,0.0
2024-11-01,222.91,222.91,222.91,222.91,0.0
2024-11-04,222.91,222.91,222.91,222.91,0.0
2024-11-05,222.91,222.91,222.91,222.91,0.0
2024-11-06,222.91,222.91,222.91,222.91,0.0
2024-11-07,222.91,222.91,222.91,222.91,0.0
2024-11-08,226.96,226.96,226.96,226.96,0.0
2024-11-11,226.96,226.96,226.96,226.96,0.0
2024-11-12,226.96,226.96,226.96,226.96,0.0
2024-11-13,226.96,226.96,226.96,226.96,0.0
2024-11-14,226.96,226.96,226.96,226.96,0.0
2024-11-15,225.0,225.0,225.0,225.0,0.0
2024-11-18,225.0,225.0,225.0,225.0,0.0
2024-11-19,225.0,225.0,225.0,225.0,0.0
2024-11-20,225.0,225.0,225.0,225.0,0.0
2024-11-21,225.0,225.0,225.0,225.0,0.0
2024-11-22,229.87,229.87,229.87,229.87,0.0
2024-11-25,229.87,229.87,229.87,229.87,0.0
2024-11-26,229.87,229.87,229.87,229.87,0.0
2024-11-27,229.87,229.87,229.87,229.87,0.0
2024-11-28,229.87,229.87,229.87,229.87,0.0
2024-11-29,237.33,237.33,237.33,237.33,0.0
2024-12-02,237.33,237.33,237.33,237.33,0.0
2024-12-03,237.33,237.33,237.33,237.33,0.0
2024-12-04,237.33,237.33,237.33,237.33,0.0
2024-12-05,237.33,237.33,237.33,237.33,0.0
2024-12-06,242.84,242.84,242.84,242.84,0.0
2024-12-09,242.84,242.84,242.84,242.84,0.0
2024-12-10,242.84,242.84,242.84,242.84,0.0
2024-12-11,242.84,242.84,242.84,242.84,0.0
2024-12-12,242.84,242.84,242.84,242.84,0.0
2024-12-13,248.13,248.13,248.13,248.13,0.0
2024-12-16,248.13,248.13,248.13,248.13,0.0
2024-12-17,248.13,248.13,248.13,248.13,0.0
2024-12-18,248.13,248.13,248.13,248.13,0.0
2024-12-19,248.13,248.13,248.13,248.13,0.0
2024-12-20,254.49,254.49,254.49,254.49,0.0
2024-12-23,254.49,254.49,254.49,254.49,0.0
2024-12-24,254.49,254.49,254.49,254.49,0.0
2024-12-25,254.49,254.49,254.49,254.49,0.0
2024-12-26,254.49,254.49,254.49,254.49,0.0
2024-12-27,255.59,255.59,255.59,255.59,0.0
2024-12-30,255.59,255.59,255.59,255.59,0.0
2024-12-31,255.59,255.59,255.59,255.59,0.0
2025-01-01,255.59,255.59,255.59,255.59,0.0
2025-01-02,255.59,255.59,255.59,255.59,0.0
2025-01-03,243.36,243.36,243.36,243.36,0.0
2025-01-06,243.36,243.36,243.36,243.36,0.0
2025-01-07,243.36,243.36,243.36,243.36,0.0
2025-01-08,243.36,243.36,243.36,243.36,0.0
2025-01-09,243.36,243.36,243.36,243.36,0.0
2025-01-10,236.85,236.85,236.85,236.85,0.0
2025-01-13,236.85,236.85,236.85,236.85,0.0
2025-01-14,236.85,236.85,236.85,236.85,0.0
2025-01-15,236.85,236.85,236.85,236.85,0.0
2025-01-16,236.85,236.85,236.85,236.85,0.0
2025-01-17,229.98,229.98,229.98,229.98,0.0
2025-01-20,229.98,229.98,229.98,229.98,0.0
2025-01-21,229.98,229.98,229.98,229.98,0.0
2025-01-22,229.98,229.98,229.98,229.98,0.0
2025-01-23,229.98,229.98,229.98,229.98,0.0
2025-01-24,222.78,222.78,222.78,222.78,0.0
2025-01-27,222.78,222.78,222.78,222.78,0.0
2025-01-28,222.78,222.78,222.78,222.78,0.0
2025-01-29,222.78,222.78,222.78,222.78,0.0
2025-01-30,222.78,222.78,222.78,222.78,0.0
