,open,high,low,close,volume
2024-10-04,416.06,416.06,416.06,416.06,0.0
2024-10-07,416.06,416.06,416.06,416.06,0.0
2024-10-08,416.06,416.06,416.06,416.06,0.0
2024-10-09,416.06,416.06,416.06,416.06,0.0
2024-10-10,416.06,416.06,416.06,416.06,0.0
2024-10-11,416.32,416.32,416.32,416.32,0.0
2024-10-14,416.32,416.32,416.32,416.32,0.0
2024-10-15,416.32,416.32,416.32,416.32,0.0
2024-10-16,416.32,416.32,416.32,416.32,0.0
2024-10-17,416.32,416.32,416.32,416.32,0.0
2024-10-18,418.16,418.16,418.16,418.16,0.0
2024-10-21,418.16,418.16,418.16,418.16,0.0
2024-10-22,418.16,418.16,418.16,418.16,0.0
2024-10-23,418.16,418.16,418.16,418.16,0.0
2024-10-24,418.16,418.16,418.16,418.16,0.0
2024-10-25,428.15,428.15,428.15,428.15,0.0
2024-10-28,428.15,428.15,428.15,428.15,0.0
2024-10-29,428.15,428.15,428.15,428.15,0.0
2024-10-30,428.15,428.15,428.15,428.15,0.0
2024-10-31,428.15,428.15,428.15,428.15,0.0
2024-11-01,410.37,410.37,410.37,410.37,0.0
2024-11-04,410.37,410.37,410.37,410.37,0.0
2024-11-05,410.37,410.37,410.37,410.37,0.0
2024-11-06,410.37,410.37,410.37,410.37,0.0
2024-11-07,410.37,410.37,410.37,410.37,0.0
2024-11-08,422.54,422.54,422.54,422.54,0.0
2024-11-11,422.54,422.54,422.54,422.54,0.0
2024-11-12,422.54,422.54,422.54,422.54,0.0
2024-11-13,422.54,422.54,422.54,422.54,0.0
2024-11-14,422.54,422.54,422.54,422.54,0.0
2024-11-15,415.0,415.0,415.0,415.0,0.0
2024-11-18,415.0,415.0,415.0,415.0,0.0
2024-11-19,415.0,415.0,415.0,415.0,0.0
2024-11-20,415.0,415.0,415.0,415.0,0.0
2024-11-21,415.0,415.0,415.0,415.0,0.0
2024-11-22,417.0,417.0,417.0,417.0,0.0
2024-11-25,417.0,417.0,417.0,417.0,0.0
2024-11-26,417.0,417.0,417.0,417.0,0.0
2024-11-27,417.0,417.0,417.0,417.0,0.0
2024-11-28,417.0,417.0,417.0,417.0,0.0
2024-11-29,423.46,423.46,423.46,423.46,0.0
2024-12-02,423.46,423.46,423.46,423.46,0.0
2024-12-03,423.46,423.46,423.46,423.46,0.0
2024-12-04,423.46,423.46,423.46,423.46,0.0
2024-12-05,423.46,423.46,423.46,423.46,0.0
2024-12-06,443.57,443.57,443.57,443.57,0.0
2024-12-09,443.57,443.57,443.57,443.57,0.0
2024-12-10,443.57,443.57,443.57,443.57,0.0
2024-12-11,443.57,443.57,443.57,443.57,0.0
2024-12-12,443.57,443.57,443.57,443.57,0.0
