,open,high,low,close,volume
2024-08-02,107.27,107.27,107.27,107.27,0.0
2024-08-05,107.27,107.27,107.27,107.27,0.0
2024-08-06,107.27,107.27,107.27,107.27,0.0
2024-08-07,107.27,107.27,107.27,107.27,0.0
2024-08-08,107.27,107.27,107.27,107.27,0.0
2024-08-09,104.75,104.75,104.75,104.75,0.0
2024-08-12,104.75,104.75,104.75,104.75,0.0
2024-08-13,104.75,104.75,104.75,104.75,0.0
2024-08-14,104.75,104.75,104.75,104.75,0.0
2024-08-15,104.75,104.75,104.75,104.75,0.0
2024-08-16,124.58,124.58,124.58,124.58,0.0
2024-08-19,124.58,124.58,124.58,124.58,0.0
2024-08-20,124.58,124.58,124.58,124.58,0.0
2024-08-21,124.58,124.58,124.58,124.58,0.0
2024-08-22,124.58,124.58,124.58,124.58,0.0
2024-08-23,129.37,129.37,129.37,129.37,0.0
2024-08-26,129.37,129.37,129.37,129.37,0.0
2024-08-27,129.37,129.37,129.37,129.37,0.0
2024-08-28,129.37,129.37,129.37,129.37,0.0
2024-08-29,129.37,129.37,129.37,129.37,0.0
2024-08-30,119.37,119.37,119.37,119.37,0.0
2024-09-02,119.37,119.37,119.37,119.37,0.0
2024-09-03,119.37,119.37,119.37,119.37,0.0
2024-09-04,119.37,119.37,119.37,119.37,0.0
2024-09-05,119.37,119.37,119.37,119.37,0.0
2024-09-06,102.83,102.83,102.83,102.83,0.0
2024-09-09,102.83,102.83,102.83,102.83,0.0
2024-09-10,102.83,102.83,102.83,102.83,0.0
2024-09-11,102.83,102.83,102.83,102.83,0.0
2024-09-12,102.83,102.83,102.83,102.83,0.0
2024-09-13,119.1,119.1,119.1,119.1,0.0
2024-09-16,119.1,119.1,119.1,119.1,0.0
2024-09-17,119.1,119.1,119.1,119.1,0.0
2024-09-18,119.1,119.1,119.1,119.1,0.0
2024-09-19,119.1,119.1,119.1,119.1,0.0
2024-09-20,116.0,116.0,116.0,116.0,0.0
2024-09-23,116.0,116.0,116.0,116.0,0.0
2024-09-24,116.0,116.0,116.0,116.0,0.0
2024-09-25,116.0,116.0,116.0,116.0,0.0
2024-09-26,116.0,116.0,116.0,116.0,0.0
2024-09-27,121.4,121.4,121.4,121.4,0.0
2024-09-30,121.4,121.4,121.4,121.4,0.0
2024-10-01,121.4,121.4,121.4,121.4,0.0
2024-10-02,121.4,121.4,121.4,121.4,0.0
2024-10-03,121.4,121.4,121.4,121.4,0.0
2024-10-04,124.92,124.92,124.92,124.92,0.0
2024-10-07,124.92,124.92,124.92,124.92,0.0
2024-10-08,124.92,124.92,124.92,124.92,0.0
2024-10-09,124.92,124.92,124.92,124.92,0.0
2024-10-10,124.92,124.92,124.92,124.92,0.0
2024-10-11,134.8,134.8,134.8,134.8,0.0
2024-10-14,134.8,134.8,134.8,134.8,0.0
2024-10-15,134.8,134.8,134.8,134.8,0.0
2024-10-16,134.8,134.8,134.8,134.8,0.0
2024-10-17,134.8,134.8,134.8,134.8,0.0
2024-10-18,138.0,138.0,138.0,138.0,0.0
2024-10-21,138.0,138.0,138.0,138.0,0.0
2024-10-22,138.0,138.0,138.0,138.0,0.0
2024-10-23,138.0,138.0,138.0,138.0,0.0
2024-10-24,138.0,138.0,138.0,138.0,0.0
2024-10-25,141.54,141.54,141.54,141.54,0.0
2024-10-28,141.54,141.54,141.54,141.54,0.0
2024-10-29,141.54,141.54,141.54,141.54,0.0
2024-10-30,141.54,141.54,141.54,141.54,0.0
2024-10-31,141.54,141.54,141.54,141.54,0.0
2024-11-01,135.4,135.4,135.4,135.4,0.0
2024-11-04,135.4,135.4,135.4,135.4,0.0
2024-11-05,135.4,135.4,135.4,135.4,0.0
2024-11-06,135.4,135.4,135.4,135.4,0.0
2024-11-07,135.4,135.4,135.4,135.4,0.0
2024-11-08,147.63,147.63,147.63,147.63,0.0
2024-11-11,147.63,147.63,147.63,147.63,0.0
2024-11-12,147.63,147.63,147.63,147.63,0.0
2024-11-13,147.63,147.63,147.63,147.63,0.0
2024-11-14,147.63,147.63,147.63,147.63,0.0
2024-11-15,141.98,141.98,141.98,141.98,0.0
2024-11-18,141.98,141.98,141.98,141.98,0.0
2024-11-19,141.98,141.98,141.98,141.98,0.0
2024-11-20,141.98,141.98,141.98,141.98,0.0
2024-11-21,141.98,141.98,141.98,141.98,0.0
2024-11-22,141.95,141.95,141.95,141.95,0.0
2024-11-25,141.95,141.95,141.95,141.95,0.0
2024-11-26,141.95,141.95,141.95,141.95,0.0
2024-11-27,141.95,141.95,141.95,141.95,0.0
2024-11-28,141.95,141.95,141.95,141.95,0.0
2024-11-29,138.25,138.25,138.25,138.25,0.0
2024-12-02,138.25,138.25,138.25,138.25,0.0
2024-12-03,138.25,138.25,138.25,138.25,0.0
2024-12-04,138.25,138.25,138.25,138.25,0.0
2024-12-05,138.25,138.25,138.25,138.25,0.0
2024-12-06,142.44,142.44,142.44,142.44,0.0
2024-12-09,142.44,142.44,142.44,142.44,0.0
2024-12-10,142.44,142.44,142.44,142.44,0.0
2024-12-11,142.44,142.44,142.44,142.44,0.0
2024-12-12,142.44,142.44,142.44,142.44,0.0
2024-12-13,134.25,134.25,134.25,134.25,0.0
2024-12-16,134.25,134.25,134.25,134.25,0.0
2024-12-17,134.25,134.25,134.25,134.25,0.0
2024-12-18,134.25,134.25,134.25,134.25,0.0
2024-12-19,134.25,134.25,134.25,134.25,0.0
2024-12-20,134.7,134.7,134.7,134.7,0.0
2024-12-23,134.7,134.7,134.7,134.7,0.0
2024-12-24,134.7,134.7,134.7,134.7,0.0
2024-12-25,134.7,134.7,134.7,134.7,0.0
2024-12-26,134.7,134.7,134.7,134.7,0.0
2024-12-27,137.01,137.01,137.01,137.01,0.0
2024-12-30,137.01,137.01,137.01,137.01,0.0
2024-12-31,137.01,137.01,137.01,137.01,0.0
2025-01-01,137.01,137.01,137.01,137.01,0.0
2025-01-02,137.01,137.01,137.01,137.01,0.0
2025-01-03,144.47,144.47,144.47,144.47,0.0
2025-01-06,144.47,144.47,144.47,144.47,0.0
2025-01-07,144.47,144.47,144.47,144.47,0.0
2025-01-08,144.47,144.47,144.47,144.47,0.0
2025-01-09,144.47,144.47,144.47,144.47,0.0
2025-01-10,135.91,135.91,135.91,135.91,0.0
2025-01-13,135.91,135.91,135.91,135.91,0.0
2025-01-14,135.91,135.91,135.91,135.91,0.0
2025-01-15,135.91,135.91,135.91,135.91,0.0
2025-01-16,135.91,135.91,135.91,135.91,0.0
2025-01-17,137.71,137.71,137.71,137.71,0.0
2025-01-20,137.71,137.71,137.71,137.71,0.0
2025-01-21,137.71,137.71,137.71,137.71,0.0
2025-01-22,137.71,137.71,137.71,137.71,0.0
2025-01-23,137.71,137.71,137.71,137.71,0.0
2025-01-24,142.62,142.62,142.62,142.62,0.0
2025-01-27,142.62,142.62,142.62,142.62,0.0
2025-01-28,142.62,142.62,142.62,142.62,0.0
2025-01-29,142.62,142.62,142.62,142.62,0.0
2025-01-30,142.62,142.62,142.62,142.62,0.0
2025-01-31,120.07,120.07,120.07,120.07,0.0
2025-02-03,120.07,120.07,120.07,120.07,0.0
2025-02-04,120.07,120.07,120.07,120.07,0.0
2025-02-05,120.07,120.07,120.07,120.07,0.0
2025-02-06,120.07,120.07,120.07,120.07,0.0
2025-02-07,129.84,129.84,129.84,129.84,0.0
2025-02-10,129.84,129.84,129.84,129.84,0.0
2025-02-11,129.84,129.84,129.84,129.84,0.0
2025-02-12,129.84,129.84,129.84,129.84,0.0
2025-02-13,129.84,129.84,129.84,129.84,0.0
2025-02-14,138.85,138.85,138.85,138.85,0.0
2025-02-17,138.85,138.85,138.85,138.85,0.0
2025-02-18,138.85,138.85,138.85,138.85,0.0
2025-02-19,138.85,138.85,138.85,138.85,0.0
2025-02-20,138.85,138.85,138.85,138.85,0.0
2025-02-21,134.43,134.43,134.43,134.43,0.0
2025-02-24,134.43,134.43,134.43,134.43,0.0
2025-02-25,134.43,134.43,134.43,134.43,0.0
2025-02-26,134.43,134.43,134.43,134.43,0.0
2025-02-27,134.43,134.43,134.43,134.43,0.0
2025-02-28,124.92,124.92,124.92,124.92,0.0
2025-03-03,124.92,124.92,124.92,124.92,0.0
2025-03-04,124.92,124.92,124.92,124.92,0.0
2025-03-05,124.92,124.92,124.92,124.92,0.0
2025-03-06,124.92,124.92,124.92,124.92,0.0
2025-03-07,112.69,112.69,112.69,112.69,0.0
2025-03-10,112.69,112.69,112.69,112.69,0.0
2025-03-11,112.69,112.69,112.69,112.69,0.0
2025-03-12,112.69,112.69,112.69,112.69,0.0
2025-03-13,112.69,112.69,112.69,112.69,0.0
2025-03-14,121.67,121.67,121.67,121.67,0.0
2025-03-17,121.67,121.67,121.67,121.67,0.0
2025-03-18,121.67,121.67,121.67,121.67,0.0
2025-03-19,121.67,121.67,121.67,121.67,0.0
2025-03-20,121.67,121.67,121.67,121.67,0.0
2025-03-21,117.7,117.7,117.7,117.7,0.0
2025-03-24,117.7,117.7,117.7,117.7,0.0
2025-03-25,117.7,117.7,117.7,117.7,0.0
2025-03-26,117.7,117.7,117.7,117.7,0.0
2025-03-27,117.7,117.7,117.7,117.7,0.0
2025-03-28,109.67,109.67,109.67,109.67,0.0
2025-03-31,109.67,109.67,109.67,109.67,0.0
2025-04-01,109.67,109.67,109.67,109.67,0.0
2025-04-02,109.67,109.67,109.67,109.67,0.0
2025-04-03,109.67,109.67,109.67,109.67,0.0
2025-04-04,94.31,94.31,94.31,94.31,0.0
2025-04-07,94.31,94.31,94.31,94.31,0.0
2025-04-08,94.31,94.31,94.31,94.31,0.0
2025-04-09,94.31,94.31,94.31,94.31,0.0
2025-04-10,94.31,94.31,94.31,94.31,0.0
2025-04-11,110.93,110.93,110.93,110.93,0.0
2025-04-14,110.93,110.93,110.93,110.93,0.0
2025-04-15,110.93,110.93,110.93,110.93,0.0
2025-04-16,110.93,110.93,110.93,110.93,0.0
2025-04-17,101.49,101.49,101.49,101.49,0.0
2025-04-18,101.49,101.49,101.49,101.49,0.0
2025-04-21,101.49,101.49,101.49,101.49,0.0
2025-04-22,101.49,101.49,101.49,101.49,0.0
2025-04-23,101.49,101.49,101.49,101.49,0.0
2025-04-24,101.49,101.49,101.49,101.49,0.0
2025-04-25,111.01,111.01,111.01,111.01,0.0
2025-04-28,111.01,111.01,111.01,111.01,0.0
2025-04-29,111.01,111.01,111.01,111.01,0.0
2025-04-30,111.01,111.01,111.01,111.01,0.0
2025-05-01,111.01,111.01,111.01,111.01,0.0
2025-05-02,114.5,114.5,114.5,114.5,0.0
2025-05-05,114.5,114.5,114.5,114.5,0.0
2025-05-06,114.5,114.5,114.5,114.5,0.0
2025-05-07,114.5,114.5,114.5,114.5,0.0
2025-05-08,114.5,114.5,114.5,114.5,0.0
2025-05-09,116.65,116.65,116.65,116.65,0.0
2025-05-12,116.65,116.65,116.65,116.65,0.0
2025-05-13,116.65,116.65,116.65,116.65,0.0
2025-05-14,116.65,116.65,116.65,116.65,0.0
2025-05-15,116.65,116.65,116.65,116.65,0.0
2025-05-16,135.4,135.4,135.4,135.4,0.0
2025-05-19,135.4,135.4,135.4,135.4,0.0
2025-05-20,135.4,135.4,135.4,135.4,0.0
2025-05-21,135.4,135.4,135.4,135.4,0.0
2025-05-22,135.4,135.4,135.4,135.4,0.0
2025-05-23,131.29,131.29,131.29,131.29,0.0
2025-05-26,131.29,131.29,131.29,131.29,0.0
2025-05-27,131.29,131.29,131.29,131.29,0.0
2025-05-28,131.29,131.29,131.29,131.29,0.0
2025-05-29,131.29,131.29,131.29,131.29,0.0
2025-05-30,135.13,135.13,135.13,135.13,0.0
2025-06-02,135.13,135.13,135.13,135.13,0.0
2025-06-03,135.13,135.13,135.13,135.13,0.0
2025-06-04,135.13,135.13,135.13,135.13,0.0
2025-06-05,135.13,135.13,135.13,135.13,0.0
2025-06-06,141.72,141.72,141.72,141.72,0.0
2025-06-09,141.72,141.72,141.72,141.72,0.0
2025-06-10,141.72,141.72,141.72,141.72,0.0
2025-06-11,141.72,141.72,141.72,141.72,0.0
2025-06-12,141.72,141.72,141.72,141.72,0.0
2025-06-13,141.97,141.97,141.97,141.97,0.0
2025-06-16,141.97,141.97,141.97,141.97,0.0
2025-06-17,141.97,141.97,141.97,141.97,0.0
2025-06-18,141.97,141.97,141.97,141.97,0.0
2025-06-19,141.97,141.97,141.97,141.97,0.0
2025-06-20,143.85,143.85,143.85,143.85,0.0
2025-06-23,143.85,143.85,143.85,143.85,0.0
2025-06-24,143.85,143.85,143.85,143.85,0.0
2025-06-25,143.85,143.85,143.85,143.85,0.0
2025-06-26,143.85,143.85,143.85,143.85,0.0
2025-06-27,157.75,157.75,157.75,157.75,0.0
2025-06-30,157.75,157.75,157.75,157.75,0.0
2025-07-01,157.75,157.75,157.75,157.75,0.0
2025-07-02,157.75,157.75,157.75,157.75,0.0
2025-07-03,159.34,159.34,159.34,159.34,0.0
2025-07-04,159.34,159.34,159.34,159.34,0.0
2025-07-07,159.34,159.34,159.34,159.34,0.0
2025-07-08,159.34,159.34,159.34,159.34,0.0
2025-07-09,159.34,159.34,159.34,159.34,0.0
2025-07-10,159.34,159.34,159.34,159.34,0.0
2025-07-11,164.92,164.92,164.92,164.92,0.0
2025-07-14,164.92,164.92,164.92,164.92,0.0
2025-07-15,164.92,164.92,164.92,164.92,0.0
2025-07-16,164.92,164.92,164.92,164.92,0.0
2025-07-17,164.92,164.92,164.92,164.92,0.0
2025-07-18,172.41,172.41,172.41,172.41,0.0
2025-07-21,172.41,172.41,172.41,172.41,0.0
2025-07-22,172.41,172.41,172.41,172.41,0.0
2025-07-23,172.41,172.41,172.41,172.41,0.0
2025-07-24,172.41,172.41,172.41,172.41,0.0
2025-07-25,173.5,173.5,173.5,173.5,0.0
2025-07-28,173.5,173.5,173.5,173.5,0.0
2025-07-29,173.5,173.5,173.5,173.5,0.0
2025-07-30,173.5,173.5,173.5,173.5,0.0
2025-07-31,173.5,173.5,173.5,173.5,0.0
2025-08-01,173.72,173.72,173.72,173.72,0.0
2025-08-04,173.72,173.72,173.72,173.72,0.0
2025-08-05,173.72,173.72,173.72,173.72,0.0
2025-08-06,173.72,173.72,173.72,173.72,0.0
2025-08-07,173.72,173.72,173.72,173.72,0.0
2025-08-08,182.7,182.7,182.7,182.7,0.0
2025-08-11,182.7,182.7,182.7,182.7,0.0
2025-08-12,182.7,182.7,182.7,182.7,0.0
2025-08-13,182.7,182.7,182.7,182.7,0.0
2025-08-14,182.7,182.7,182.7,182.7,0.0
2025-08-15,180.45,180.45,180.45,180.45,0.0
2025-08-18,180.45,180.45,180.45,180.45,0.0
2025-08-19,180.45,180.45,180.45,180.45,0.0
2025-08-20,180.45,180.45,180.45,180.45,0.0
2025-08-21,180.45,180.45,180.45,180.45,0.0
2025-08-22,177.99,177.99,177.99,177.99,0.0
2025-08-25,177.99,177.99,177.99,177.99,0.0
2025-08-26,177.99,177.99,177.99,177.99,0.0
2025-08-27,177.99,177.99,177.99,177.99,0.0
2025-08-28,177.99,177.99,177.99,177.99,0.0
2025-08-29,174.18,174.18,174.18,174.18,0.0
2025-09-01,174.18,174.18,174.18,174.18,0.0
2025-09-02,174.18,174.18,174.18,174.18,0.0
2025-09-03,174.18,174.18,174.18,174.18,0.0
2025-09-04,174.18,174.18,174.18,174.18,0.0
2025-09-05,167.02,167.02,167.02,167.02,0.0
2025-09-08,167.02,167.02,167.02,167.02,0.0
2025-09-09,167.02,167.02,167.02,167.02,0.0
2025-09-10,167.02,167.02,167.02,167.02,0.0
2025-09-11,167.02,167.02,167.02,167.02,0.0
2025-09-12,177.82,177.82,177.82,177.82,0.0
2025-09-15,177.82,177.82,177.82,177.82,0.0
2025-09-16,177.82,177.82,177.82,177.82,0.0
2025-09-17,177.82,177.82,177.82,177.82,0.0
2025-09-18,177.82,177.82,177.82,177.82,0.0
2025-09-19,176.67,176.67,176.67,176.67,0.0
2025-09-22,176.67,176.67,176.67,176.67,0.0
2025-09-23,176.67,176.67,176.67,176.67,0.0
2025-09-24,176.67,176.67,176.67,176.67,0.0
2025-09-25,176.67,176.67,176.67,176.67,0.0
2025-09-26,178.19,178.19,178.19,178.19,0.0
2025-09-29,178.19,178.19,178.19,178.19,0.0
2025-09-30,178.19,178.19,178.19,178.19,0.0
2025-10-01,178.19,178.19,178.19,178.19,0.0
2025-10-02,178.19,178.19,178.19,178.19,0.0
2025-10-03,187.62,187.62,187.62,187.62,0.0
2025-10-06,187.62,187.62,187.62,187.62,0.0
2025-10-07,187.62,187.62,187.62,187.62,0.0
2025-10-08,187.62,187.62,187.62,187.62,0.0
2025-10-09,187.62,187.62,187.62,187.62,0.0
2025-10-10,183.16,183.16,183.16,183.16,0.0
2025-10-13,183.16,183.16,183.16,183.16,0.0
2025-10-14,183.16,183.16,183.16,183.16,0.0
2025-10-15,183.16,183.16,183.16,183.16,0.0
