t,open,high,low,close,volume
2024-07-23,178.95,180.6,170.65,172.73,312985.85066106
2024-07-24,173.03,182.51,171.01,178.09,522419.11816261
2024-07-25,178.01,179.53,165.12,171.83,473734.47531821
2024-07-26,171.83,183.77,171.71,183.16,315417.20458039
2024-07-27,183.16,188.25,175.17,183.81,337288.47435682
2024-07-28,183.83,186.68,181.29,184.96,116279.60668045
2024-07-29,184.96,193.86,181.68,182.49,513138.21858625
2024-07-30,182.55,184.92,175.5,179.03,252747.99345514
2024-07-31,179.03,184.9,171.57,171.58,420223.23135261
2024-08-01,171.64,172.81,157.7,167.38,551348.97669593
2024-08-02,167.24,169.25,149.89,152.61,523038.03010026
2024-08-03,152.6,153.76,139.93,142.42,392822.63363153
2024-08-04,142.43,145.9,131.22,138.24,568645.07150832
2024-08-05,138.26,139.2,109.55,129.79,2252114.40140731
2024-08-06,129.8,149.6,129.5,144.46,854656.56953425
2024-08-07,144.46,155.07,142.29,144.48,659219.54552134
2024-08-08,144.78,163.52,141.43,163.19,763753.23780908
2024-08-09,163.19,163.5,151.0,156.36,438409.79820078
2024-08-10,156.24,158.93,152.84,154.07,187737.64196438
2024-08-11,154.01,158.11,141.29,141.55,417293.43127992
2024-08-12,141.55,150.76,141.35,146.5,493099.01785944
2024-08-13,146.5,149.77,143.08,146.75,324994.01513902
2024-08-14,146.7,152.12,142.5,143.96,356498.06740976
2024-08-15,143.73,147.51,137.72,142.58,516122.90382719
2024-08-16,142.54,144.81,136.2,139.04,344384.92978566
2024-08-17,139.04,142.0,137.71,141.9,124012.47049017
2024-08-18,141.84,147.19,140.71,142.43,261163.116536
2024-08-19,142.44,146.19,140.47,144.35,226132.27635311
2024-08-20,144.26,148.86,141.06,142.32,304065.98309028
2024-08-21,142.32,144.47,138.8,142.76,303251.89604594
2024-08-22,142.77,144.84,140.77,143.27,192085.5589539
2024-08-23,143.27,154.14,142.61,153.3,397166.02907654
2024-08-24,153.37,162.3,152.15,160.76,276603.99506664
2024-08-25,160.74,161.95,155.37,159.01,145505.70372332
2024-08-26,159.01,161.95,155.62,157.21,248792.29336806
2024-08-27,157.18,159.59,145.01,146.87,364009.190586
2024-08-28,146.9,148.82,140.53,143.9,418304.2910601
2024-08-29,143.9,147.28,138.08,140.05,267490.43168328
2024-08-30,140.04,141.08,132.14,138.05,349082.52145139
2024-08-31,138.01,139.09,134.58,135.37,90940.07529186
2024-09-01,135.38,136.04,127.8,128.54,256397.77889144
2024-09-02,128.54,135.35,127.04,134.95,284747.20541538
2024-09-03,134.94,137.53,127.23,127.54,366635.7342806
2024-09-04,127.51,134.88,122.62,133.61,392069.71527293
2024-09-05,133.62,135.44,127.98,129.44,282304.72706793
2024-09-06,129.37,134.16,120.5,125.02,638562.82039454
2024-09-07,125.02,129.36,124.21,127.67,146415.71386756
2024-09-08,127.72,131.6,126.63,130.0,184203.62095534
2024-09-09,130.04,137.0,127.01,135.07,352185.25087927
2024-09-10,135.09,138.0,132.59,135.66,185325.81509478
2024-09-11,135.67,135.9,128.27,132.49,299967.86507021
2024-09-12,132.44,136.66,132.41,136.06,179393.7047239
2024-09-13,136.06,139.85,131.83,139.13,271142.20558573
2024-09-14,139.12,139.83,135.67,137.21,91984.50674693
2024-09-15,137.21,137.92,130.5,131.42,176805.72923009
2024-09-16,131.4,132.4,128.85,131.4,216629.49296736
2024-09-17,131.4,135.57,130.26,131.54,238266.81834319
2024-09-18,131.54,134.34,127.15,134.32,265336.57788005
2024-09-19,134.33,143.9,134.32,142.88,427663.46793216
2024-09-20,142.88,152.29,141.2,146.65,395159.00022084
2024-09-21,146.7,149.92,144.73,149.48,123015.14535733
2024-09-22,149.48,149.83,141.23,144.76,217293.45434927
2024-09-23,144.69,149.01,142.28,144.7,230315.18421978
2024-09-24,144.73,153.91,143.15,152.64,320059.22085673
2024-09-25,152.74,153.76,147.26,148.06,233591.72653686
2024-09-26,148.06,158.06,146.65,155.58,365005.855039
2024-09-27,155.55,161.15,154.01,157.59,346231.43559377
2024-09-28,157.66,159.34,155.15,156.85,85901.23702302
2024-09-29,156.78,161.66,155.11,158.61,195294.10099476
2024-09-30,158.61,159.74,151.83,152.66,287109.6414822
2024-10-01,152.55,157.31,142.26,145.2,529773.9990071
2024-10-02,145.13,148.9,138.6,140.15,339033.9309435
2024-10-03,140.15,142.96,133.17,136.81,287321.22277906
2024-10-04,136.81,144.52,135.93,143.15,463526.83089322
2024-10-05,143.23,144.88,141.1,142.73,182423.44889184
2024-10-06,142.6,146.62,142.04,146.49,183295.85124675
2024-10-07,146.47,152.25,143.5,143.95,424834.45903778
2024-10-08,143.96,145.5,141.09,143.42,181629.81924914
2024-10-09,143.42,145.22,138.6,139.22,161018.21823893
2024-10-10,139.22,140.76,135.39,138.89,257410.95272005
2024-10-11,138.89,146.48,138.51,145.46,191820.63221927
2024-10-12,145.49,147.23,144.7,146.36,92333.73070351
2024-10-13,146.38,148.73,144.4,147.69,122056.40423881
2024-10-14,147.62,158.0,146.74,157.52,247360.30004552
2024-10-15,157.53,159.52,150.39,154.8,350619.51591341
2024-10-16,154.73,158.18,153.06,154.14,172762.31974778
2024-10-17,154.22,155.62,147.73,150.34,177387.66804122
2024-10-18,150.35,156.5,149.67,154.92,207233.90332761
2024-10-19,154.93,159.75,153.72,159.58,93472.76962218
2024-10-20,159.59,167.96,157.58,167.32,208000.5155918
2024-10-21,167.33,171.5,161.23,166.16,343947.20789847
2024-10-22,166.17,171.0,162.84,167.35,306857.42729993
2024-10-23,167.36,174.0,164.11,170.66,284204.34572819
2024-10-24,170.68,179.0,170.47,177.06,303306.82590262
2024-10-25,177.05,177.41,159.21,164.71,507399.56043057
2024-10-26,164.7,172.9,162.26,170.69,183135.01989104
2024-10-27,170.7,177.98,170.15,176.48,212097.0297863
2024-10-28,176.48,179.51,172.35,178.1,409467.65037797
2024-10-29,178.1,183.2,176.51,179.3,396810.22025735
2024-10-30,179.32,181.12,173.08,174.8,187071.70334784
2024-10-31,174.8,176.3,167.41,168.48,344126.5644865
2024-11-01,168.49,173.87,163.49,166.06,220472.81472543
2024-11-02,166.06,168.45,162.25,166.05,111352.70281929
2024-11-03,166.07,166.4,157.94,162.44,165640.63817915
2024-11-04,162.42,164.77,155.0,157.9,202428.01163128
2024-11-05,157.89,169.26,156.74,166.66,288805.92411984
2024-11-06,166.66,190.0,166.36,186.87,803416.03265482
2024-11-07,186.88,197.9,186.09,196.44,403567.98615428
2024-11-08,196.52,205.0,195.8,199.95,377877.02066081
2024-11-09,199.94,203.37,195.26,200.1,311228.28668684
2024-11-10,200.11,215.7,198.91,210.24,620418.55020788
2024-11-11,210.24,224.57,204.5,222.37,729399.93927565
2024-11-12,222.4,225.2,204.92,211.82,750295.48224225
2024-11-13,211.84,220.8,201.2,215.46,637858.9915009
2024-11-14,215.47,222.71,207.0,209.46,445384.48232699
2024-11-15,209.58,220.23,204.74,218.43,616858.84647509
2024-11-16,218.54,222.22,213.67,215.67,380013.20630768
2024-11-17,215.67,241.86,212.38,237.51,617480.05743191
2024-11-18,237.54,248.32,234.15,239.95,1033563.75458367
2024-11-19,239.96,247.84,233.72,238.0,574369.53659016
2024-11-20,238.01,242.67,230.74,235.57,388317.19702635
2024-11-21,235.59,259.86,230.0,256.78,650739.22253877
2024-11-22,256.7,264.45,251.7,257.25,358289.96091057
2024-11-23,257.21,264.02,253.2,255.26,367378.26258221
2024-11-24,255.26,259.96,241.21,252.93,333221.51007913
2024-11-25,252.93,256.65,231.32,233.96,430081.09050263
2024-11-26,234.1,239.68,221.82,230.68,445887.77534585
2024-11-27,230.6,245.0,227.66,242.26,265621.87370685
2024-11-28,242.3,245.46,233.0,237.59,142466.63732431
2024-11-29,237.65,247.04,236.58,243.47,301558.57684629
2024-11-30,243.46,245.34,237.56,237.75,173213.10112432
2024-12-01,237.75,239.84,234.5,237.0,245637.14297749
2024-12-02,237.01,238.2,220.05,225.89,449119.02142115
2024-12-03,225.79,239.63,215.23,234.04,404198.40318743
2024-12-04,234.05,240.81,224.75,229.53,403693.45685276
2024-12-05,229.52,244.92,223.31,236.22,620155.53278129
2024-12-06,236.22,247.01,231.32,237.07,309456.21166485
2024-12-07,237.13,243.83,234.59,238.32,214532.65779003
2024-12-08,238.31,241.53,233.43,237.24,98028.80985102
2024-12-09,237.18,237.36,205.07,216.93,450807.49061271
2024-12-10,216.93,224.49,203.14,213.69,366822.25632421
2024-12-11,213.71,231.0,211.68,227.47,254767.05857507
