,open,high,low,close,volume
2024-10-04,572.98,572.98,572.98,572.98,0.0
2024-10-07,572.98,572.98,572.98,572.98,0.0
2024-10-08,572.98,572.98,572.98,572.98,0.0
2024-10-09,572.98,572.98,572.98,572.98,0.0
2024-10-10,572.98,572.98,572.98,572.98,0.0
2024-10-11,579.58,579.58,579.58,579.58,0.0
2024-10-14,579.58,579.58,579.58,579.58,0.0
2024-10-15,579.58,579.58,579.58,579.58,0.0
2024-10-16,579.58,579.58,579.58,579.58,0.0
2024-10-17,579.58,579.58,579.58,579.58,0.0
2024-10-18,584.59,584.59,584.59,584.59,0.0
2024-10-21,584.59,584.59,584.59,584.59,0.0
2024-10-22,584.59,584.59,584.59,584.59,0.0
2024-10-23,584.59,584.59,584.59,584.59,0.0
2024-10-24,584.59,584.59,584.59,584.59,0.0
2024-10-25,579.04,579.04,579.04,579.04,0.0
2024-10-28,579.04,579.04,579.04,579.04,0.0
2024-10-29,579.04,579.04,579.04,579.04,0.0
2024-10-30,579.04,579.04,579.04,579.04,0.0
2024-10-31,579.04,579.04,579.04,579.04,0.0
2024-11-01,571.04,571.04,571.04,571.04,0.0
2024-11-04,571.04,571.04,571.04,571.04,0.0
2024-11-05,571.04,571.04,571.04,571.04,0.0
2024-11-06,571.04,571.04,571.04,571.04,0.0
2024-11-07,571.04,571.04,571.04,571.04,0.0
2024-11-08,598.19,598.19,598.19,598.19,0.0
2024-11-11,598.19,598.19,598.19,598.19,0.0
2024-11-12,598.19,598.19,598.19,598.19,0.0
2024-11-13,598.19,598.19,598.19,598.19,0.0
2024-11-14,598.19,598.19,598.19,598.19,0.0
2024-11-15,585.75,585.75,585.75,585.75,0.0
2024-11-18,585.75,585.75,585.75,585.75,0.0
2024-11-19,585.75,585.75,585.75,585.75,0.0
2024-11-20,585.75,585.75,585.75,585.75,0.0
2024-11-21,585.75,585.75,585.75,585.75,0.0
2024-11-22,595.51,595.51,595.51,595.51,0.0
2024-11-25,595.51,595.51,595.51,595.51,0.0
2024-11-26,595.51,595.51,595.51,595.51,0.0
2024-11-27,595.51,595.51,595.51,595.51,0.0
2024-11-28,595.51,595.51,595.51,595.51,0.0
2024-11-29,602.55,602.55,602.55,602.55,0.0
2024-12-02,602.55,602.55,602.55,602.55,0.0
2024-12-03,602.55,602.55,602.55,602.55,0.0
2024-12-04,602.55,602.55,602.55,602.55,0.0
2024-12-05,602.55,602.55,602.55,602.55,0.0
2024-12-06,607.81,607.81,607.81,607.81,0.0
2024-12-09,607.81,607.81,607.81,607.81,0.0
2024-12-10,607.81,607.81,607.81,607.81,0.0
2024-12-11,607.81,607.81,607.81,607.81,0.0
2024-12-12,607.81,607.81,607.81,607.81,0.0
2024-12-13,604.21,604.21,604.21,604.21,0.0
2024-12-16,604.21,604.21,604.21,604.21,0.0
2024-12-17,604.21,604.21,604.21,604.21,0.0
2024-12-18,604.21,604.21,604.21,604.21,0.0
2024-12-19,604.21,604.21,604.21,604.21,0.0
2024-12-20,591.15,591.15,591.15,591.15,0.0
2024-12-23,591.15,591.15,591.15,591.15,0.0
2024-12-24,591.15,591.15,591.15,591.15,0.0
2024-12-25,591.15,591.15,591.15,591.15,0.0
2024-12-26,591.15,591.15,591.15,591.15,0.0
2024-12-27,595.01,595.01,595.01,595.01,0.0
2024-12-30,595.01,595.01,595.01,595.01,0.0
2024-12-31,595.01,595.01,595.01,595.01,0.0
2025-01-01,595.01,595.01,595.01,595.01,0.0
2025-01-02,595.01,595.01,595.01,595.01,0.0
2025-01-03,591.95,591.95,591.95,591.95,0.0
2025-01-06,591.95,591.95,591.95,591.95,0.0
2025-01-07,591.95,591.95,591.95,591.95,0.0
2025-01-08,591.95,591.95,591.95,591.95,0.0
2025-01-09,591.95,591.95,591.95,591.95,0.0
2025-01-10,580.49,580.49,580.49,580.49,0.0
2025-01-13,580.49,580.49,580.49,580.49,0.0
2025-01-14,580.49,580.49,580.49,580.49,0.0
2025-01-15,580.49,580.49,580.49,580.49,0.0
2025-01-16,580.49,580.49,580.49,580.49,0.0
2025-01-17,597.58,597.58,597.58,597.58,0.0
2025-01-20,597.58,597.58,597.58,597.58,0.0
2025-01-21,597.58,597.58,597.58,597.58,0.0
2025-01-22,597.58,597.58,597.58,597.58,0.0
2025-01-23,597.58,597.58,597.58,597.58,0.0
2025-01-24,607.97,607.97,607.97,607.97,0.0
2025-01-27,607.97,607.97,607.97,607.97,0.0
2025-01-28,607.97,607.97,607.97,607.97,0.0
2025-01-29,607.97,607.97,607.97,607.97,0.0
2025-01-30,607.97,607.97,607.97,607.97,0.0
2025-01-31,601.82,601.82,601.82,601.82,0.0
2025-02-03,601.82,601.82,601.82,601.82,0.0
2025-02-04,601.82,601.82,601.82,601.82,0.0
2025-02-05,601.82,601.82,601.82,601.82,0.0
2025-02-06,601.82,601.82,601.82,601.82,0.0
2025-02-07,600.77,600.77,600.77,600.77,0.0
2025-02-10,600.77,600.77,600.77,600.77,0.0
2025-02-11,600.77,600.77,600.77,600.77,0.0
2025-02-12,600.77,600.77,600.77,600.77,0.0
2025-02-13,600.77,600.77,600.77,600.77,0.0
2025-02-14,609.7,609.7,609.7,609.7,0.0
2025-02-17,609.7,609.7,609.7,609.7,0.0
2025-02-18,609.7,609.7,609.7,609.7,0.0
2025-02-19,609.7,609.7,609.7,609.7,0.0
2025-02-20,609.7,609.7,609.7,609.7,0.0
2025-02-21,599.94,599.94,599.94,599.94,0.0
2025-02-24,599.94,599.94,599.94,599.94,0.0
2025-02-25,599.94,599.94,599.94,599.94,0.0
2025-02-26,599.94,599.94,599.94,599.94,0.0
2025-02-27,599.94,599.94,599.94,599.94,0.0
2025-02-28,594.18,594.18,594.18,594.18,0.0
2025-03-03,594.18,594.18,594.18,594.18,0.0
2025-03-04,594.18,594.18,594.18,594.18,0.0
2025-03-05,594.18,594.18,594.18,594.18,0.0
2025-03-06,594.18,594.18,594.18,594.18,0.0
2025-03-07,575.92,575.92,575.92,575.92,0.0
2025-03-10,575.92,575.92,575.92,575.92,0.0
2025-03-11,575.92,575.92,575.92,575.92,0.0
2025-03-12,575.92,575.92,575.92,575.92,0.0
2025-03-13,575.92,575.92,575.92,575.92,0.0
2025-03-14,562.81,562.81,562.81,562.81,0.0
2025-03-17,562.81,562.81,562.81,562.81,0.0
2025-03-18,562.81,562.81,562.81,562.81,0.0
2025-03-19,562.81,562.81,562.81,562.81,0.0
2025-03-20,562.81,562.81,562.81,562.81,0.0
2025-03-21,563.98,563.98,563.98,563.98,0.0
2025-03-24,563.98,563.98,563.98,563.98,0.0
2025-03-25,563.98,563.98,563.98,563.98,0.0
2025-03-26,563.98,563.98,563.98,563.98,0.0
2025-03-27,563.98,563.98,563.98,563.98,0.0
2025-03-28,555.66,555.66,555.66,555.66,0.0
2025-03-31,555.66,555.66,555.66,555.66,0.0
2025-04-01,555.66,555.66,555.66,555.66,0.0
2025-04-02,555.66,555.66,555.66,555.66,0.0
2025-04-03,555.66,555.66,555.66,555.66,0.0
2025-04-04,505.28,505.28,505.28,505.28,0.0
2025-04-07,505.28,505.28,505.28,505.28,0.0
2025-04-08,505.28,505.28,505.28,505.28,0.0
2025-04-09,505.28,505.28,505.28,505.28,0.0
2025-04-10,505.28,505.28,505.28,505.28,0.0
2025-04-11,533.94,533.94,533.94,533.94,0.0
2025-04-14,533.94,533.94,533.94,533.94,0.0
2025-04-15,533.94,533.94,533.94,533.94,0.0
2025-04-16,533.94,533.94,533.94,533.94,0.0
2025-04-17,526.41,526.41,526.41,526.41,0.0
2025-04-18,526.41,526.41,526.41,526.41,0.0
2025-04-21,526.41,526.41,526.41,526.41,0.0
2025-04-22,526.41,526.41,526.41,526.41,0.0
2025-04-23,526.41,526.41,526.41,526.41,0.0
2025-04-24,526.41,526.41,526.41,526.41,0.0
2025-04-25,550.64,550.64,550.64,550.64,0.0
2025-04-28,550.64,550.64,550.64,550.64,0.0
2025-04-29,550.64,550.64,550.64,550.64,0.0
2025-04-30,550.64,550.64,550.64,550.64,0.0
2025-05-01,550.64,550.64,550.64,550.64,0.0
2025-05-02,566.76,566.76,566.76,566.76,0.0
2025-05-05,566.76,566.76,566.76,566.76,0.0
2025-05-06,566.76,566.76,566.76,566.76,0.0
2025-05-07,566.76,566.76,566.76,566.76,0.0
2025-05-08,566.76,566.76,566.76,566.76,0.0
2025-05-09,564.34,564.34,564.34,564.34,0.0
2025-05-12,564.34,564.34,564.34,564.34,0.0
2025-05-13,564.34,564.34,564.34,564.34,0.0
2025-05-14,564.34,564.34,564.34,564.34,0.0
2025-05-15,564.34,564.34,564.34,564.34,0.0
2025-05-16,594.2,594.2,594.2,594.2,0.0
2025-05-19,594.2,594.2,594.2,594.2,0.0
2025-05-20,594.2,594.2,594.2,594.2,0.0
2025-05-21,594.2,594.2,594.2,594.2,0.0
2025-05-22,594.2,594.2,594.2,594.2,0.0
2025-05-23,579.11,579.11,579.11,579.11,0.0
2025-05-26,579.11,579.11,579.11,579.11,0.0
2025-05-27,579.11,579.11,579.11,579.11,0.0
2025-05-28,579.11,579.11,579.11,579.11,0.0
2025-05-29,579.11,579.11,579.11,579.11,0.0
2025-05-30,589.39,589.39,589.39,589.39,0.0
2025-06-02,589.39,589.39,589.39,589.39,0.0
2025-06-03,589.39,589.39,589.39,589.39,0.0
2025-06-04,589.39,589.39,589.39,589.39,0.0
2025-06-05,589.39,589.39,589.39,589.39,0.0
2025-06-06,599.14,599.14,599.14,599.14,0.0
2025-06-09,599.14,599.14,599.14,599.14,0.0
2025-06-10,599.14,599.14,599.14,599.14,0.0
2025-06-11,599.14,599.14,599.14,599.14,0.0
2025-06-12,599.14,599.14,599.14,599.14,0.0
2025-06-13,597.0,597.0,597.0,597.0,0.0
2025-06-16,597.0,597.0,597.0,597.0,0.0
2025-06-17,597.0,597.0,597.0,597.0,0.0
2025-06-18,597.0,597.0,597.0,597.0,0.0
2025-06-19,597.0,597.0,597.0,597.0,0.0
2025-06-20,594.28,594.28,594.28,594.28,0.0
2025-06-23,594.28,594.28,594.28,594.28,0.0
2025-06-24,594.28,594.28,594.28,594.28,0.0
2025-06-25,594.28,594.28,594.28,594.28,0.0
2025-06-26,594.28,594.28,594.28,594.28,0.0
2025-06-27,614.91,614.91,614.91,614.91,0.0
2025-06-30,614.91,614.91,614.91,614.91,0.0
2025-07-01,614.91,614.91,614.91,614.91,0.0
2025-07-02,614.91,614.91,614.91,614.91,0.0
2025-07-03,625.34,625.34,625.34,625.34,0.0
2025-07-04,625.34,625.34,625.34,625.34,0.0
2025-07-07,625.34,625.34,625.34,625.34,0.0
2025-07-08,625.34,625.34,625.34,625.34,0.0
2025-07-09,625.34,625.34,625.34,625.34,0.0
2025-07-10,625.34,625.34,625.34,625.34,0.0
2025-07-11,623.62,623.62,623.62,623.62,0.0
2025-07-14,623.62,623.62,623.62,623.62,0.0
2025-07-15,623.62,623.62,623.62,623.62,0.0
2025-07-16,623.62,623.62,623.62,623.62,0.0
2025-07-17,623.62,623.62,623.62,623.62,0.0
2025-07-18,627.58,627.58,627.58,627.58,0.0
2025-07-21,627.58,627.58,627.58,627.58,0.0
2025-07-22,627.58,627.58,627.58,627.58,0.0
2025-07-23,627.58,627.58,627.58,627.58,0.0
2025-07-24,627.58,627.58,627.58,627.58,0.0
2025-07-25,637.1,637.1,637.1,637.1,0.0
2025-07-28,637.1,637.1,637.1,637.1,0.0
2025-07-29,637.1,637.1,637.1,637.1,0.0
2025-07-30,637.1,637.1,637.1,637.1,0.0
2025-07-31,637.1,637.1,637.1,637.1,0.0
2025-08-01,621.72,621.72,621.72,621.72,0.0
2025-08-04,621.72,621.72,621.72,621.72,0.0
2025-08-05,621.72,621.72,621.72,621.72,0.0
2025-08-06,621.72,621.72,621.72,621.72,0.0
2025-08-07,621.72,621.72,621.72,621.72,0.0
2025-08-08,637.18,637.18,637.18,637.18,0.0
2025-08-11,637.18,637.18,637.18,637.18,0.0
2025-08-12,637.18,637.18,637.18,637.18,0.0
2025-08-13,637.18,637.18,637.18,637.18,0.0
2025-08-14,637.18,637.18,637.18,637.18,0.0
2025-08-15,643.44,643.44,643.44,643.44,0.0
2025-08-18,643.44,643.44,643.44,643.44,0.0
2025-08-19,643.44,643.44,643.44,643.44,0.0
2025-08-20,643.44,643.44,643.44,643.44,0.0
2025-08-21,643.44,643.44,643.44,643.44,0.0
2025-08-22,645.31,645.31,645.31,645.31,0.0
2025-08-25,645.31,645.31,645.31,645.31,0.0
2025-08-26,645.31,645.31,645.31,645.31,0.0
2025-08-27,645.31,645.31,645.31,645.31,0.0
2025-08-28,645.31,645.31,645.31,645.31,0.0
2025-08-29,645.05,645.05,645.05,645.05,0.0
2025-09-01,645.05,645.05,645.05,645.05,0.0
2025-09-02,645.05,645.05,645.05,645.05,0.0
2025-09-03,645.05,645.05,645.05,645.05,0.0
2025-09-04,645.05,645.05,645.05,645.05,0.0
2025-09-05,647.24,647.24,647.24,647.24,0.0
2025-09-08,647.24,647.24,647.24,647.24,0.0
2025-09-09,647.24,647.24,647.24,647.24,0.0
2025-09-10,647.24,647.24,647.24,647.24,0.0
2025-09-11,647.24,647.24,647.24,647.24,0.0
2025-09-12,657.41,657.41,657.41,657.41,0.0
2025-09-15,657.41,657.41,657.41,657.41,0.0
2025-09-16,657.41,657.41,657.41,657.41,0.0
2025-09-17,657.41,657.41,657.41,657.41,0.0
2025-09-18,657.41,657.41,657.41,657.41,0.0
2025-09-19,663.7,663.7,663.7,663.7,0.0
2025-09-22,663.7,663.7,663.7,663.7,0.0
2025-09-23,663.7,663.7,663.7,663.7,0.0
2025-09-24,663.7,663.7,663.7,663.7,0.0
2025-09-25,663.7,663.7,663.7,663.7,0.0
2025-09-26,661.82,661.82,661.82,661.82,0.0
2025-09-29,661.82,661.82,661.82,661.82,0.0
2025-09-30,661.82,661.82,661.82,661.82,0.0
2025-10-01,661.82,661.82,661.82,661.82,0.0
2025-10-02,661.82,661.82,661.82,661.82,0.0
2025-10-03,669.21,669.21,669.21,669.21,0.0
2025-10-06,669.21,669.21,669.21,669.21,0.0
2025-10-07,669.21,669.21,669.21,669.21,0.0
2025-10-08,669.21,669.21,669.21,669.21,0.0
2025-10-09,669.21,669.21,669.21,669.21,0.0
2025-10-10,653.02,653.02,653.02,653.02,0.0
2025-10-13,653.02,653.02,653.02,653.02,0.0
2025-10-14,653.02,653.02,653.02,653.02,0.0
2025-10-15,653.02,653.02,653.02,653.02,0.0
2025-10-16,653.02,653.02,653.02,653.02,0.0
2025-10-17,664.39,664.39,664.39,664.39,0.0
2025-10-20,664.39,664.39,664.39,664.39,0.0
2025-10-21,664.39,664.39,664.39,664.39,0.0
2025-10-22,664.39,664.39,664.39,664.39,0.0
2025-10-23,664.39,664.39,664.39,664.39,0.0
2025-10-24,677.25,677.25,677.25,677.25,0.0
2025-10-27,677.25,677.25,677.25,677.25,0.0
2025-10-28,677.25,677.25,677.25,677.25,0.0
2025-10-29,677.25,677.25,677.25,677.25,0.0
2025-10-30,677.25,677.25,677.25,677.25,0.0
2025-10-31,682.06,682.06,682.06,682.06,0.0
2025-11-03,682.06,682.06,682.06,682.06,0.0
2025-11-04,682.06,682.06,682.06,682.06,0.0
2025-11-05,682.06,682.06,682.06,682.06,0.0
2025-11-06,682.06,682.06,682.06,682.06,0.0
2025-11-07,670.97,670.97,670.97,670.97,0.0
2025-11-10,670.97,670.97,670.97,670.97,0.0
2025-11-11,670.97,670.97,670.97,670.97,0.0
2025-11-12,670.97,670.97,670.97,670.97,0.0
2025-11-13,670.97,670.97,670.97,670.97,0.0
2025-11-14,671.93,671.93,671.93,671.93,0.0
2025-11-17,671.93,671.93,671.93,671.93,0.0
2025-11-18,671.93,671.93,671.93,671.93,0.0
2025-11-19,671.93,671.93,671.93,671.93,0.0
2025-11-20,671.93,671.93,671.93,671.93,0.0
2025-11-21,659.03,659.03,659.03,659.03,0.0
2025-11-24,659.03,659.03,659.03,659.03,0.0
2025-11-25,659.03,659.03,659.03,659.03,0.0
2025-11-26,659.03,659.03,659.03,659.03,0.0
2025-11-27,659.03,659.03,659.03,659.03,0.0
2025-11-28,683.39,683.39,683.39,683.39,0.0
2025-12-01,683.39,683.39,683.39,683.39,0.0
2025-12-02,683.39,683.39,683.39,683.39,0.0
2025-12-03,683.39,683.39,683.39,683.39,0.0
2025-12-04,683.39,683.39,683.39,683.39,0.0
2025-12-05,685.69,685.69,685.69,685.69,0.0
2025-12-08,685.69,685.69,685.69,685.69,0.0
2025-12-09,685.69,685.69,685.69,685.69,0.0
2025-12-10,685.69,685.69,685.69,685.69,0.0
2025-12-11,685.69,685.69,685.69,685.69,0.0
2025-12-12,681.76,681.76,681.76,681.76,0.0
2025-12-15,681.76,681.76,681.76,681.76,0.0
2025-12-16,681.76,681.76,681.76,681.76,0.0
2025-12-17,681.76,681.76,681.76,681.76,0.0
2025-12-18,681.76,681.76,681.76,681.76,0.0
2025-12-19,680.59,680.59,680.59,680.59,0.0
2025-12-22,680.59,680.59,680.59,680.59,0.0
2025-12-23,680.59,680.59,680.59,680.59,0.0
2025-12-24,680.59,680.59,680.59,680.59,0.0
2025-12-25,680.59,680.59,680.59,680.59,0.0
2025-12-26,690.31,690.31,690.31,690.31,0.0
2025-12-29,690.31,690.31,690.31,690.31,0.0
2025-12-30,690.31,690.31,690.31,690.31,0.0
2025-12-31,690.31,690.31,690.31,690.31,0.0
2026-01-01,690.31,690.31,690.31,690.31,0.0
2026-01-02,683.17,683.17,683.17,683.17,0.0
2026-01-05,683.17,683.17,683.17,683.17,0.0
2026-01-06,683.17,683.17,683.17,683.17,0.0
2026-01-07,683.17,683.17,683.17,683.17,0.0
2026-01-08,683.17,683.17,683.17,683.17,0.0
2026-01-09,694.07,694.07,694.07,694.07,0.0
2026-01-12,694.07,694.07,694.07,694.07,0.0
2026-01-13,694.07,694.07,694.07,694.07,0.0
2026-01-14,694.07,694.07,694.07,694.07,0.0
2026-01-15,694.07,694.07,694.07,694.07,0.0
2026-01-16,691.66,691.66,691.66,691.66,0.0
2026-01-19,691.66,691.66,691.66,691.66,0.0
2026-01-20,691.66,691.66,691.66,691.66,0.0
2026-01-21,691.66,691.66,691.66,691.66,0.0
2026-01-22,691.66,691.66,691.66,691.66,0.0
2026-01-23,689.23,689.23,689.23,689.23,0.0
2026-01-26,689.23,689.23,689.23,689.23,0.0
2026-01-27,689.23,689.23,689.23,689.23,0.0
2026-01-28,689.23,689.23,689.23,689.23,0.0
2026-01-29,689.23,689.23,689.23,689.23,0.0
2026-01-30,691.97,691.97,691.97,691.97,0.0
2026-02-02,691.97,691.97,691.97,691.97,0.0
2026-02-03,691.97,691.97,691.97,691.97,0.0
2026-02-04,691.97,691.97,691.97,691.97,0.0
2026-02-05,691.97,691.97,691.97,691.97,0.0
2026-02-06,690.62,690.62,690.62,690.62,0.0
2026-02-09,690.62,690.62,690.62,690.62,0.0
2026-02-10,690.62,690.62,690.62,690.62,0.0
2026-02-11,690.62,690.62,690.62,690.62,0.0
2026-02-12,690.62,690.62,690.62,690.62,0.0
2026-02-13,681.75,681.75,681.75,681.75,0.0
2026-02-16,681.75,681.75,681.75,681.75,0.0
2026-02-17,681.75,681.75,681.75,681.75,0.0
2026-02-18,684.02,689.15,682.83,686.29,73570341.0
2026-02-19,683.84,686.18,681.5475,684.48,58649363.0
2026-02-20,682.32,690.06,681.73,689.43,100033986.0
2026-02-23,687.83,690.0,680.371,682.39,90558087.0
2026-02-24,681.9,688.35,680.0,687.35,73798727.0
2026-02-25,690.18,693.68,690.1,693.15,56369479.0
2026-02-26,693.28,693.3,684.35,689.3,71670990.0
2026-02-27,683.09,686.86,681.64,685.99,83308868.0
2026-03-02,678.7,688.62,678.02,686.38,87477198.0
2026-03-03,675.06,682.61,669.66,680.33,105003113.0
2026-03-04,681.63,687.09,679.62,685.13,79182244.0
2026-03-05,682.08,685.53,675.61,681.31,106606464.0
2026-03-06,673.41,676.11,669.76,672.38,100686951.0
2026-03-09,666.39,679.92,662.39,678.27,102667711.0
2026-03-10,677.72,683.36,674.76,677.18,81505315.0
