date,close
2024-10-04,416.06
2024-10-11,416.32
2024-10-18,418.16
2024-10-25,428.15
2024-11-01,410.37
2024-11-08,422.54
2024-11-15,415.00
2024-11-22,417.00
2024-11-29,423.46
2024-12-06,443.57
2024-12-13,447.27
2024-12-20,436.60
2024-12-27,430.53
2025-01-03,423.35
2025-01-10,418.95
2025-01-17,429.03
2025-01-24,444.06
2025-01-31,415.06
2025-02-07,409.75
2025-02-14,408.43
2025-02-21,408.21
2025-02-28,396.99
2025-03-07,393.31
2025-03-14,388.56
2025-03-21,391.26
2025-03-28,378.80
2025-04-04,359.84
2025-04-11,388.45
2025-04-17,367.78
2025-04-25,391.85
2025-05-02,435.28
2025-05-09,438.73
2025-05-16,454.27
2025-05-23,450.18
2025-05-30,460.36
2025-06-06,470.38
2025-06-13,474.96
2025-06-20,477.40
2025-06-27,495.94
2025-07-03,498.84
2025-07-11,503.32
2025-07-18,510.05
2025-07-25,513.71
2025-08-01,524.11
2025-08-08,522.04
2025-08-15,520.17
2025-08-22,507.23
2025-08-29,506.69
2025-09-05,495.00
2025-09-12,509.90
2025-09-19,517.93
2025-09-26,511.46
2025-10-03,517.35
2025-10-10,510.96
2025-10-17,513.58
2025-10-24,523.61
2025-10-31,517.81
2025-11-07,496.82
2025-11-14,510.18
2025-11-21,472.12
2025-11-28,492.01
2025-12-05,483.16
2025-12-12,478.53
2025-12-19,485.92
2025-12-26,487.71
2026-01-02,472.94
2026-01-09,479.28
2026-01-16,459.86
2026-01-23,465.95
2026-01-30,430.29
2026-02-06,401.14
2026-02-13,401.32
